131;Torey Krug;BOS;BOS;D;81;4;40;44;12;80;92;5250000;67;
23;Taylor Hall;NJD;EDM;L;82;26;39;65;52;39;91;6000000;68;
151;Rasmus Ristolainen;BUF;BUF;D;82;9;32;41;27;64;91;0;69;
17;Nicklas Backstrom;WAS;WSH;C;75;20;50;70;40;50;90;6700000;70;
30;Sean Monahan;CGY;CGY;C;81;27;36;63;54;36;90;6375000;71;
36;Mark Scheifele;WPG;WPG;C;71;29;32;61;58;32;90;6125000;72;
184;Justin Faulk;CAR;CAR;D;64;16;21;37;48;42;90;4833000;73;
19;Claude Giroux;PHI;PHI;C;78;22;45;67;44;45;89;8275000;74;
37;Daniel Sedin;VAN;VAN;L;82;28;33;61;56;33;89;7000000;75;
45;Matt Duchene;COL;COL;C;76;30;29;59;60;29;89;6000000;76;
51;Tyler Toffoli;LAK;LAK;C;82;31;27;58;62;27;89;3250000;77;
52;James Neal;NAS;NSH;R;82;31;27;58;62;27;89;5000000;78;
46;Mike Hoffman;OTT;OTT;L;78;29;30;59;58;30;88;5188000;79;
160;Jake Muzzin;LAK;LAK;D;82;8;32;40;24;64;88;4000000;80;
9999;Frederik Andersen;TOR;ANA;G;37;22;3;0;66;15;88;5000000;81;7
38;Mats Zuccarello;NYR;NYR;R;81;26;35;61;52;35;87;4500000;82;
47;Aleksander Barkov;FLA;FLA;C;66;28;31;59;56;31;87;5900000;83;
57;Kyle Palmieri;NJD;NJD;R;82;30;27;57;60;27;87;4650000;84;
196;Aaron Ekblad;FLA;FLA;D;78;15;21;36;45;42;87;3775000;85;
9999;Kari Lehtonen;DAL;DAL;G;39;25;2;0;75;10;87;5900000;86;2
9999;John Gibson;ANA;ANA;G;38;21;4;0;63;20;87;2300000;87;4
27;Kyle Okposo;BUF;NYI;R;79;22;42;64;44;42;86;6000000;88;
34;Jeff Carter;LAK;LAK;C;77;24;38;62;48;38;86;5273000;89;
53;Jonathan Toews;CHI;CHI;C;80;28;30;58;56;30;86;10500000;90;
58;Alex Galchenyuk;MTL;MTL;C;82;30;26;56;60;26;86;2800000;91;
171;Marc-Edouard Vlasic;SJS;SJS;D;67;8;31;39;24;62;86;4250000;92;
172;John Carlson;WAS;WSH;D;56;8;31;39;24;62;86;3967000;93;
48;Phil Kessel;PIT;PIT;R;82;26;33;59;52;33;85;6800000;94;
49;Brayden Schenn;PHI;PHI;C;80;26;33;59;52;33;85;5125000;95;
54;Derick Brassard;OTT;NYR;C;80;27;31;58;54;31;85;5000000;96;
55;Evgeni Malkin;PIT;PIT;C;57;27;31;58;54;31;85;9500000;97;
162;Nick Leddy;NYI;NYI;D;81;5;35;40;15;70;85;5500000;98;
181;Sami Vatanen;ANA;ANA;D;71;9;29;38;27;58;85;4875000;99;
39;Mark Stone;OTT;OTT;R;75;23;38;61;46;38;84;3500000;100;
69;Brandon Saad;CLB;CBJ;L;78;31;22;53;62;22;84;6000000;101;
9999;Cam Ward;CAR;CAR;G;51;23;1;0;69;5;84;3300000;102;10
188;Zdeno Chara;BOS;BOS;D;80;9;28;37;27;56;83;6917000;103;
9999;Cam Talbot;EDM;EDM;G;53;21;3;0;63;15;83;4167000;104;5
42;Ryan O'Reilly;BUF;BUF;C;71;21;39;60;42;39;81;7500000;105;
189;Alex Pietrangelo;STL;STL;D;73;7;30;37;21;60;81;6500000;106;
205;Morgan Rielly;TOR;TOR;D;82;9;27;36;27;54;81;5000000;107;
31;David Krejci;BOS;BOS;C;72;17;46;63;34;46;80;7250000;108;
59;Jack Eichel;BUF;BUF;C;81;24;32;56;48;32;80;3775000;109;
70;Cam Atkinson;CLB;CBJ;R;81;27;26;53;54;26;80;3500000;110;
94;Adam Henrique;NJD;NJD;C;80;30;20;50;60;20;80;4000000;111;
50;Jonathan Huberdeau;FLA;FLA;L;76;20;39;59;40;39;79;3250000;112;
82;Jeff Skinner;CAR;CAR;L;82;28;23;51;56;23;79;5725000;113;
98;Boone Jenner;CLB;CBJ;C;82;30;19;49;60;19;79;2900000;114;
190;Alex Goligoski;ARI;DAL;D;82;5;32;37;15;64;79;5475000;115;
43;Jussi Jokinen;FLA;FLA;L;81;18;42;60;36;42;78;4000000;116;
60;Bobby Ryan;OTT;OTT;R;81;22;34;56;44;34;78;7250000;117;
71;Vincent Trocheck;FLA;FLA;C;76;25;28;53;50;28;78;4750000;118;
72;Zach Parise;MIN;MIN;L;70;25;28;53;50;28;78;7538000;119;
206;Michael Stone;ARI;ARI;D;75;6;30;36;18;60;78;4000000;120;
212;Mattias Ekholm;NAS;NSH;D;82;8;27;35;24;54;78;3750000;121;
9999;Thomas Greiss;NYI;NYI;G;38;23;1;0;69;5;78;1500000;122;4
83;T.J. Oshie;WAS;WSH;R;80;26;25;51;52;25;77;4175000;123;
214;Mike Green;DET;DET;D;74;7;28;35;21;56;77;6000000;124;
220;Ryan McDonagh;NYR;NYR;D;73;9;25;34;27;50;77;4700000;125;
221;Anton Stralman;TBL;TBL;D;73;9;25;34;27;50;77;4500000;126;
32;Ryan Getzlaf;ANA;ANA;C;77;13;50;63;26;50;76;8250000;127;
222;Francois Beauchemin;COL;COL;D;82;8;26;34;24;52;76;4500000;128;
64;Milan Lucic;EDM;LAK;L;81;20;35;55;40;35;75;6000000;129;
65;Patrick Sharp;DAL;DAL;L;76;20;35;55;40;35;75;5900000;130;
73;Derek Stepan;NYR;NYR;C;72;22;31;53;44;31;75;6500000;131;
95;Reilly Smith;FLA;FLA;R;82;25;25;50;50;25;75;3425000;132;
110;Shane Doan;ARI;ARI;R;72;28;19;47;56;19;75;4840000;133;
225;Colton Parayko;STL;STL;D;79;9;24;33;27;48;75;925000;134;
9999;Chad Johnson;CGY;BUF;G;40;22;1;0;66;5;75;1700000;135;4
44;Ryan Johansen;NAS;CBJ, NSH;C;80;14;46;60;28;46;74;4000000;136;
74;Ryan Kesler;ANA;ANA;C;79;21;32;53;42;32;74;6875000;137;
77;Justin Williams;WAS;WSH;R;82;22;30;52;44;30;74;3250000;138;
229;Ryan Ellis;NAS;NSH;D;79;10;22;32;30;44;74;2500000;139;
9999;Mike Condon;#N/A;MTL;G;51;21;1;0;63;5;74;0;140;6
62;Mikko Koivu;MIN;MIN;C;82;17;39;56;34;39;73;6750000;141;
75;Gabriel Landeskog;COL;COL;L;75;20;33;53;40;33;73;5571000;142;
