rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
423;Maxim Lapierre;STL;C;71;9;6;15;18;6;24;-3;0;0;0;1;0
424;Brooks Laich;WSH;C;51;8;7;15;16;7;23;-7;1;1;2;1;0
425;Tomas Jurco;DET;R;36;8;7;15;16;7;23;0;2;0;0;0;0
426;Drew Miller;DET;L;82;7;8;15;14;8;22;-11;0;0;0;1;0
427;Jared Cowen;OTT;D;68;6;9;15;12;9;21;0;0;0;0;2;0
428;Erik Haula;MIN;C;46;6;9;15;12;9;21;14;0;1;2;1;0
429;David Savard;CBJ;D;70;5;10;15;10;10;20;2;1;0;0;1;0
430;Lance Bouma;CGY;C;78;5;10;15;10;10;20;-4;0;1;2;0;0
431;Alexandre Burrows;VAN;R;49;5;10;15;10;10;20;-9;2;0;0;0;0
432;Ryan Malone;TBL;L;57;5;10;15;10;10;20;-7;0;0;0;0;0
433;Ron Hainsey;CAR;D;82;4;11;15;8;11;19;-9;0;0;0;1;0
434;John Moore;NYR;D;74;4;11;15;8;11;19;7;0;0;0;2;0
435;Jay Harrison;CAR;D;68;4;11;15;8;11;19;-1;1;0;0;1;1
436;Barret Jackman;STL;D;79;3;12;15;6;12;18;11;0;0;0;1;0
437;Paul Martin;PIT;D;39;3;12;15;6;12;18;-4;1;0;0;2;0
438;Raphael Diaz;MTL, VAN, NYR;D;63;2;13;15;4;13;17;-2;0;0;0;0;0
439;Nikita Nikitin;CBJ;D;66;2;13;15;4;13;17;9;0;0;0;1;1
440;Chris Phillips;OTT;D;70;1;14;15;2;14;16;-12;1;0;0;0;0
441;Ville Leino;BUF;L;58;0;15;15;0;15;15;-16;0;0;0;0;0
442;Anders Lee;NYI;C;22;9;5;14;18;5;23;3;2;0;0;0;0
443;Matt Martin;NYI;L;79;8;6;14;16;6;22;-11;0;0;0;3;0
444;Chris Neil;OTT;R;76;8;6;14;16;6;22;-10;0;0;0;0;0
445;Brandon Bollig;CHI;L;82;7;7;14;14;7;21;-1;0;0;0;1;0
446;Michael Bournival;MTL;L;60;7;7;14;14;7;21;-6;1;0;0;1;0
447;Paul Ranger;TOR;D;53;6;8;14;12;8;20;-1;0;1;2;0;0
448;Robyn Regehr;LAK;D;79;3;11;14;6;11;17;6;0;0;0;1;1
449;Marc Staal;NYR;D;72;3;11;14;6;11;17;-1;1;0;0;0;0
450;Nicklas Grossmann;PHI;D;78;1;13;14;2;13;15;-6;0;0;0;0;0
451;Josh Gorges;MTL;D;66;1;13;14;2;13;15;6;0;0;0;0;0
452;Joe Vitale;PIT;C;53;1;13;14;2;13;15;-1;0;0;0;1;0
453;Manny Malhotra;CAR;C;69;7;6;13;14;6;20;0;0;0;0;1;1
454;Brian Flynn;BUF;C;79;6;7;13;12;7;19;-10;0;1;2;0;0
455;Brandon Prust;MTL;L;52;6;7;13;12;7;19;-1;0;0;0;3;0
456;Cody McLeod;COL;L;71;5;8;13;10;8;18;2;0;1;2;0;0
457;Kyle Quincey;DET;D;82;4;9;13;8;9;17;-5;0;0;0;1;0
458;Roman Polak;STL;D;72;4;9;13;8;9;17;3;0;0;0;0;0
459;Tanner Glass;PIT;L;67;4;9;13;8;9;17;-8;0;0;0;0;0
460;Richard Panik;TBL;R;50;3;10;13;6;10;16;-9;0;0;0;0;0
461;Brooks Orpik;PIT;D;72;2;11;13;4;11;15;-3;0;0;0;0;0
462;Mark Stuart;WPG;D;69;2;11;13;4;11;15;11;0;0;0;0;0
463;Anton Stralman;NYR;D;81;1;12;13;2;12;14;9;0;0;0;0;0
464;Mike Weaver;FLA, MTL;D;72;1;12;13;2;12;14;0;0;0;0;0;0
465;Colton Sceviour;DAL;C;26;8;4;12;16;4;20;-3;2;0;0;2;0
466;Dave Bolland;TOR;C;23;8;4;12;16;4;20;-1;1;1;2;2;1
467;Deryk Engelland;PIT;D;56;6;6;12;12;6;18;-6;0;0;0;1;0
468;Magnus Paajarvi;STL;L;55;6;6;12;12;6;18;-6;0;0;0;1;0
469;Matt D'Agostini;PIT, BUF;R;57;5;7;12;10;7;17;-15;2;0;0;2;1
470;Jeff Halpern;PHX;C;69;5;7;12;10;7;17;-8;0;0;0;1;0
471;Luke Schenn;PHI;D;79;4;8;12;8;8;16;0;0;0;0;0;0
472;Tomas Kopecky;FLA;R;49;4;8;12;8;8;16;0;0;1;2;0;0
473;Drayson Bowman;CAR;L;70;4;8;12;8;8;16;-2;0;0;0;0;0
474;Scott Hannan;SJS;D;56;3;9;12;6;9;15;1;0;0;0;0;0
475;Steve Bernier;NJD;R;78;3;9;12;6;9;15;-15;0;0;0;1;1
476;Dylan Olsen;FLA;D;44;3;9;12;6;9;15;-3;0;0;0;0;0
477;Philip Larsen;EDM;D;30;3;9;12;6;9;15;-4;1;0;0;0;0
478;Ryan Murphy;CAR;D;48;2;10;12;4;10;14;-9;1;0;0;0;0
479;Travis Moen;MTL;L;65;2;10;12;4;10;14;2;0;0;0;0;0
480;Grant Clitsome;WPG;D;32;2;10;12;4;10;14;-5;0;0;0;0;0
481;Scott Gomez;FLA;C;46;2;10;12;4;10;14;-11;0;0;0;0;0
482;Willie Mitchell;LAK;D;76;1;11;12;2;11;13;14;0;0;0;0;0
483;Emerson Etem;ANA;L;29;7;4;11;14;4;18;3;1;1;2;2;0
484;Trevor Lewis;LAK;C;73;6;5;11;12;5;17;-1;0;1;2;2;0
485;Patrick Bordeleau;COL;L;82;6;5;11;12;5;17;-1;0;0;0;1;0
486;Peter Holland;ANA, TOR;C;43;6;5;11;12;5;17;0;1;0;0;0;0
487;Craig Adams;PIT;R;82;5;6;11;10;6;16;-16;0;0;0;0;0
488;David Clarkson;TOR;R;60;5;6;11;10;6;16;-14;1;0;0;1;0
489;Jeremy Morin;CHI;R;24;5;6;11;10;6;16;5;0;0;0;0;0
490;Mark Fayne;NJD;D;72;4;7;11;8;7;15;-5;0;1;2;0;0
491;Stephen Gionta;NJD;C;66;4;7;11;8;7;15;-8;0;1;2;1;0
492;Peter Regin;NYI, CHI;C;61;4;7;11;8;7;15;-5;0;0;0;0;0
493;Michael Kostka;CHI, TBL;D;28;4;7;11;8;7;15;10;0;0;0;1;0
494;Alex Tanguay;COL;L;16;4;7;11;8;7;15;7;0;1;2;2;0
495;Zach Bogosian;WPG;D;55;3;8;11;6;8;14;3;0;0;0;0;0
496;Brad Stuart;SJS;D;61;3;8;11;6;8;14;4;0;0;0;3;1
497;Dmitry Orlov;WSH;D;54;3;8;11;6;8;14;-1;0;0;0;0;0
498;Ian Cole;STL;D;46;3;8;11;6;8;14;15;0;0;0;0;0
499;Lubomir Visnovsky;NYI;D;24;3;8;11;6;8;14;-1;2;0;0;1;1
500;Jon Merrill;NJD;D;52;2;9;11;4;9;13;-3;0;0;0;2;1
501;Eric Gryba;OTT;D;57;2;9;11;4;9;13;9;0;0;0;0;0
502;Chris Thorburn;WPG;R;55;2;9;11;4;9;13;0;0;0;0;1;0
503;Corey Tropp;BUF, CBJ;R;53;2;9;11;4;9;13;3;0;0;0;0;0
504;Sven Baertschi;CGY;L;26;2;9;11;4;9;13;-4;1;0;0;0;0
505;Jonathan Ericsson;DET;D;48;1;10;11;2;10;12;2;0;0;0;0;0
506;Ryan Spooner;BOS;C;23;0;11;11;0;11;11;0;0;0;0;0;0
507;Ryan Carter;NJD;L;62;7;3;10;14;3;17;-6;0;0;0;2;0
508;Yannick Weber;VAN;D;49;6;4;10;12;4;16;-7;3;0;0;2;0
509;Jordan Nolan;LAK;C;64;6;4;10;12;4;16;-1;0;0;0;1;0
510;Stephane Robidas;DAL, ANA;D;38;5;5;10;10;5;15;10;1;0;0;1;1
511;Mark Barberio;TBL;D;49;5;5;10;10;5;15;10;1;0;0;0;0
512;Matt Halischuk;WPG;R;46;5;5;10;10;5;15;-3;0;0;0;1;0
513;Jay McClement;TOR;C;81;4;6;10;8;6;14;-8;0;0;0;1;0
514;Tom Wilson;WSH;R;82;3;7;10;6;7;13;1;1;0;0;0;0
515;B.J. Crombeen;TBL;R;55;3;7;10;6;7;13;-2;0;0;0;1;0
516;Joe Corvo;OTT;D;25;3;7;10;6;7;13;-7;0;0;0;0;0
517;Troy Bodie;TOR;R;47;3;7;10;6;7;13;6;0;0;0;0;0
518;Zbynek Michalek;PHX;D;59;2;8;10;4;8;12;6;0;0;0;1;0
519;Torrey Mitchell;MIN, BUF;C;67;2;8;10;4;8;12;-3;0;0;0;0;0
520;Erik Gustafsson;PHI;D;31;2;8;10;4;8;12;7;0;0;0;0;0
521;Steve Oleksy;WSH;D;33;2;8;10;4;8;12;7;0;0;0;1;0
522;Devante Smith-Pelly;ANA;R;19;2;8;10;4;8;12;5;0;0;0;0;0
523;Cory Sarich;COL;D;54;1;9;10;2;9;11;7;0;0;0;0;0
524;Dennis Seidenberg;BOS;D;34;1;9;10;2;9;11;11;0;0;0;0;0
525;Bryan Allen;ANA;D;68;0;10;10;0;10;10;20;0;0;0;0;0
526;Robert Bortuzzo;PIT;D;54;0;10;10;0;10;10;-3;0;0;0;0;0
527;Tom Sestito;VAN;L;77;5;4;9;10;4;14;-14;1;0;0;0;0
528;Jayson Megna;PIT;C;36;5;4;9;10;4;14;1;0;0;0;2;0
529;Adam Hall;PHI;R;80;4;5;9;8;5;13;-15;0;2;4;0;0
530;Jay Beagle;WSH;R;62;4;5;9;8;5;13;-9;0;0;0;0;0
531;Radek Dvorak;CAR;R;60;4;5;9;8;5;13;3;0;0;0;2;0
532;Pierre-Marc Bouchard;NYI;C;28;4;5;9;8;5;13;-9;1;0;0;1;0
533;Trevor Smith;TOR;C;28;4;5;9;8;5;13;-3;0;0;0;2;1
534;Erik Gudbranson;FLA;D;65;3;6;9;6;6;12;-7;0;0;0;0;0
535;Brian Strait;NYI;D;47;3;6;9;6;6;12;-14;0;0;0;0;0
536;Cody Ceci;OTT;D;49;3;6;9;6;6;12;-5;0;0;0;2;1
537;Evgeny Kuznetsov;WSH;C;17;3;6;9;6;6;12;-2;0;1;2;0;0
538;Kevin Klein;NSH, NYR;D;77;2;7;9;4;7;11;-7;0;0;0;0;0
539;John-Michael Liles;TOR, CAR;D;41;2;7;9;4;7;11;5;1;0;0;0;0
540;Keith Ballard;MIN;D;45;2;7;9;4;7;11;-7;0;0;0;0;0
541;Calle Jarnkrok;NSH;C;12;2;7;9;4;7;11;7;0;0;0;0;0
542;Mike Weber;BUF;D;68;1;8;9;2;8;10;-29;0;0;0;0;0
543;Nate Guenin;COL;D;68;1;8;9;2;8;10;3;0;0;0;0;0
544;Mattias Ekholm;NSH;D;62;1;8;9;2;8;10;-8;0;0;0;0;0
545;David Schlemko;PHX;D;48;1;8;9;2;8;10;2;0;0;0;0;0
546;Shawn Thornton;BOS;L;64;5;3;8;10;3;13;3;0;0;0;1;0
547;Vincent Trocheck;FLA;C;20;5;3;8;10;3;13;-11;1;1;2;0;0
548;Daniel Cleary;DET;R;52;4;4;8;8;4;12;-11;0;0;0;1;0
549;Derek Dorsett;NYR;R;51;4;4;8;8;4;12;-1;0;0;0;0;0
550;Brian McGrattan;CGY;R;76;4;4;8;8;4;12;-4;0;0;0;0;0
551;Mark Stone;OTT;R;19;4;4;8;8;4;12;5;1;0;0;0;0
552;Kyle Clifford;LAK;L;71;3;5;8;6;5;11;6;0;0;0;0;0
553;Ladislav Smid;EDM, CGY;D;73;2;6;8;4;6;10;-10;0;0;0;0;0
554;Henrik Tallinder;BUF;D;64;2;6;8;4;6;10;-21;0;0;0;0;0
555;Brett Bellemore;CAR;D;64;2;6;8;4;6;10;-1;0;0;0;0;0
556;Nate Prosser;MIN;D;53;2;6;8;4;6;10;2;0;0;0;2;1
557;Ryan Reaves;STL;R;63;2;6;8;4;6;10;-1;0;0;0;0;0
558;Tim Kennedy;PHX;L;37;2;6;8;4;6;10;0;0;0;0;0;0
559;Paul Bissonnette;PHX;L;39;2;6;8;4;6;10;6;0;0;0;0;0
560;Michal Rozsival;CHI;D;42;1;7;8;2;7;9;7;0;0;0;0;0
561;Andrej Sustr;TBL;D;43;1;7;8;2;7;9;3;0;0;0;0;0
562;Kevin Connauton;DAL;D;36;1;7;8;2;7;9;-6;0;0;0;0;0
563;Connor Murphy;PHX;D;30;1;7;8;2;7;9;5;0;0;0;1;0
564;Anton Volchenkov;NJD;D;56;0;8;8;0;8;8;3;0;0;0;0;0
565;Matt Hendricks;NSH, EDM;C;77;5;2;7;10;2;12;-11;0;1;2;1;0
566;Drew Shore;FLA;C;24;5;2;7;10;2;12;-1;1;1;2;1;0
567;Zac Dalpe;VAN;C;55;4;3;7;8;3;11;-7;1;0;0;0;0
568;Kevin Westgarth;CAR, CGY;R;48;4;3;7;8;3;11;-4;0;0;0;1;0
569;Rich Clune;NSH;L;58;3;4;7;6;4;10;-7;0;0;0;1;0
570;Tom Pyatt;TBL;C;27;3;4;7;6;4;10;-2;0;0;0;1;0
571;Beau Bennett;PIT;R;21;3;4;7;6;4;10;-2;0;0;0;1;0
572;Eric O'Dell;WPG;C;30;3;4;7;6;4;10;-2;0;0;0;1;0
573;Tanner Pearson;LAK;L;25;3;4;7;6;4;10;2;1;0;0;1;0
574;Sheldon Brookbank;CHI;D;48;2;5;7;4;5;9;2;0;0;0;1;0
575;Matt Frattin;LAK, CBJ;R;44;2;5;7;4;5;9;-4;1;0;0;0;0
576;Cody McCormick;BUF, MIN;C;43;2;5;7;4;5;9;-6;0;0;0;0;0
577;Reid Boucher;NJD;R;23;2;5;7;4;5;9;2;0;0;0;0;0
578;Anton Belov;EDM;D;57;1;6;7;2;6;8;-12;0;0;0;0;0
579;Mark Pysyk;BUF;D;44;1;6;7;2;6;8;-11;0;0;0;1;1
580;Marc-Andre Cliche;COL;C;76;1;6;7;2;6;8;-11;0;0;0;0;0
581;Luke Glendening;DET;C;56;1;6;7;2;6;8;-8;0;0;0;0;0
582;Matt Ellis;BUF;L;50;4;2;6;8;2;10;-6;0;0;0;0;0
583;Quinton Howden;FLA;C;16;4;2;6;8;2;10;0;0;1;2;0;0
584;Eric Tangradi;WPG;L;55;3;3;6;6;3;9;-6;0;0;0;0;0
585;J.T. Miller;NYR;C;30;3;3;6;6;3;9;-6;0;0;0;0;0
586;Mike Hoffman;OTT;L;25;3;3;6;6;3;9;-2;1;0;0;0;0
587;Jordan Schroeder;VAN;C;25;3;3;6;6;3;9;-7;0;0;0;0;0
588;Nicklas Jensen;VAN;R;17;3;3;6;6;3;9;-1;0;0;0;1;0
589;Francis Bouillon;MTL;D;52;2;4;6;4;4;8;-5;0;0;0;1;1
590;Dalton Prout;CBJ;D;49;2;4;6;4;4;8;-7;0;0;0;0;0
591;Keaton Ellerby;WPG;D;51;2;4;6;4;4;8;4;1;0;0;1;0
592;Matt Greene;LAK;D;38;2;4;6;4;4;8;6;0;0;0;0;0
593;Nate Schmidt;WSH;D;29;2;4;6;4;4;8;4;0;0;0;0;0
594;Ryan Jones;EDM;L;52;2;4;6;4;4;8;0;0;0;0;1;0
595;Ryan White;MTL;C;52;2;4;6;4;4;8;-8;0;0;0;1;0
596;Brandon McMillan;PHX;C;22;2;4;6;4;4;8;0;0;0;0;0;0
597;Brian Lashoff;DET;D;75;1;5;6;2;5;7;-2;0;0;0;0;0
598;Tim Gleason;CAR, TOR;D;56;1;5;6;2;5;7;-21;0;0;0;0;0
599;Kevan Miller;BOS;D;47;1;5;6;2;5;7;20;0;0;0;1;0
600;Victor Bartley;NSH;D;50;1;5;6;2;5;7;0;0;0;0;0;0
601;Connor Carrick;WSH;D;34;1;5;6;2;5;7;-9;0;0;0;0;0
602;Luca Sbisa;ANA;D;30;1;5;6;2;5;7;0;0;0;0;0;0
603;Adam McQuaid;BOS;D;30;1;5;6;2;5;7;12;0;0;0;0;0
604;Jordan Leopold;STL;D;27;1;5;6;2;5;7;1;0;0;0;0;0
605;Adam Pardy;WPG;D;60;0;6;6;0;6;6;4;0;0;0;0;0
606;Martin Marincin;EDM;D;44;0;6;6;0;6;6;-2;0;0;0;0;0
607;Ryan Wilson;COL;D;28;0;6;6;0;6;6;1;0;0;0;0;0
608;Taylor Pyatt;NYR, PIT;L;56;4;1;5;8;1;9;-24;1;0;0;1;0
609;Daniel Carcillo;LAK, NYR;L;57;4;1;5;8;1;9;-1;0;0;0;2;0
610;Jason Zucker;MIN;L;21;4;1;5;8;1;9;2;1;0;0;1;0
611;Tim Jackman;CGY, ANA;R;36;4;1;5;8;1;9;-3;0;0;0;0;0
612;Chris Conner;PIT;R;19;4;1;5;8;1;9;-3;0;0;0;0;0
613;Tye McGinn;PHI;L;18;4;1;5;8;1;9;-1;0;0;0;0;0
614;Jesse Joensuu;EDM;L;42;3;2;5;6;2;8;-16;1;0;0;1;0
615;Bracken Kearns;SJS;L;25;3;2;5;6;2;8;-2;1;0;0;0;0
616;Will Acton;EDM;C;30;3;2;5;6;2;8;-2;0;0;0;1;0
617;Brad Malone;COL;C;32;3;2;5;6;2;8;-4;0;0;0;0;0
618;Raffi Torres;SJS;L;5;3;2;5;6;2;8;4;0;0;0;0;0
619;Mike Brown;EDM, SJS;R;56;2;3;5;4;3;7;-9;0;0;0;0;0
620;Patrick Eaves;DET, NSH;R;30;2;3;5;4;3;7;-7;1;0;0;0;0
621;Anthony Peluso;WPG;R;53;2;3;5;4;3;7;-5;0;0;0;0;0
622;Clayton Stoner;MIN;D;63;1;4;5;2;4;6;-6;0;0;0;0;0
623;Ed Jovanovski;FLA;D;37;1;4;5;2;4;6;-6;0;0;0;0;0
624;Mark Fistric;ANA;D;34;1;4;5;2;4;6;9;0;0;0;0;0
625;Filip Forsberg;NSH;C;13;1;4;5;2;4;6;-8;1;0;0;0;0
626;Nick Schultz;EDM, CBJ;D;69;0;5;5;0;5;5;-13;0;0;0;0;0
627;Simon Despres;PIT;D;34;0;5;5;0;5;5;4;0;0;0;0;0
628;Corey Potter;EDM, BOS;D;19;0;5;5;0;5;5;-1;0;0;0;0;0
629;Linden Vey;LAK;R;18;0;5;5;0;5;5;0;0;0;0;0;0
630;Jack Skille;CBJ;R;16;4;0;4;8;0;8;2;0;0;0;1;0
631;Stephane Da Costa;OTT;C;12;3;1;4;6;1;7;2;1;0;0;0;0
632;Rasmus Ristolainen;BUF;D;34;2;2;4;4;2;6;-15;0;0;0;0;0
633;Zac Rinaldo;PHI;C;67;2;2;4;4;2;6;-13;0;0;0;1;0
634;Luke Gazdic;EDM;L;67;2;2;4;4;2;6;-8;0;0;0;0;0
635;Stephen Weiss;DET;C;26;2;2;4;4;2;6;-4;0;0;0;1;1
636;Dustin Jeffrey;PIT, DAL;C;34;2;2;4;4;2;6;-4;0;0;0;0;0
637;Eric Boulton;NYI;L;23;2;2;4;4;2;6;0;0;0;0;0;0
638;Bryce Salvador;NJD;D;40;1;3;4;2;3;5;-2;0;0;0;0;0
639;John Erskine;WSH;D;37;1;3;4;2;3;5;-5;0;0;0;0;0
640;Rostislav Klesla;PHX;D;25;1;3;4;2;3;5;-3;0;0;0;0;0
641;Carlo Colaiacovo;STL;D;25;1;3;4;2;3;5;-4;0;0;0;0;0
642;Colton Sissons;NSH;C;17;1;3;4;2;3;5;0;0;0;0;0;0
643;Michael Latta;WSH;C;17;1;3;4;2;3;5;0;0;0;0;0;0
644;Zach Boychuk;CAR;L;11;1;3;4;2;3;5;2;0;0;0;0;0
645;Rob Scuderi;PIT;D;53;0;4;4;0;4;4;-8;0;0;0;0;0
646;Peter Harrold;NJD;D;33;0;4;4;0;4;4;-2;0;0;0;0;0
647;Johan Larsson;BUF;L;28;0;4;4;0;4;4;0;0;0;0;0;0
648;Mike Komisarek;CAR;D;32;0;4;4;0;4;4;-4;0;0;0;0;0
649;Krys Barch;FLA;R;55;0;4;4;0;4;4;-10;0;0;0;0;0
650;Rickard Rakell;ANA;C;18;0;4;4;0;4;4;-3;0;0;0;0;0
651;Jean-Philippe Cote;TBL;D;19;0;4;4;0;4;4;0;0;0;0;0;0
652;Tyler Wotherspoon;CGY;D;14;0;4;4;0;4;4;-3;0;0;0;0;0
653;Stephane Veilleux;MIN;L;34;3;0;3;6;0;6;-2;0;0;0;0;0
654;Jordan Szwarz;PHX;R;26;3;0;3;6;0;6;-6;0;0;0;1;0
655;Cam Janssen;NJD;R;24;3;0;3;6;0;6;3;0;0;0;0;0
656;Chris Summers;PHX;D;18;2;1;3;4;1;5;0;0;0;0;0;0
657;Mikhail Grigorenko;BUF;C;18;2;1;3;4;1;5;-3;0;0;0;0;0
658;Casey Wellman;WSH;C;13;2;1;3;4;1;5;3;0;0;0;0;0
659;Markus Granlund;CGY;C;7;2;1;3;4;1;5;2;0;1;2;0;0
660;Zenon Konopka;MIN, BUF;C;59;1;2;3;2;2;4;-9;0;0;0;0;0
661;Adam Larsson;NJD;D;26;1;2;3;2;2;4;-1;0;0;0;1;0
662;Jordan Caron;BOS;R;35;1;2;3;2;2;4;-8;0;0;0;0;0
663;Paul Postma;WPG;D;20;1;2;3;2;2;4;1;0;0;0;1;0
664;Aaron Ness;NYI;D;20;1;2;3;2;2;4;-13;0;0;0;0;0
665;Jacob Josefson;NJD;C;27;1;2;3;2;2;4;0;0;1;2;0;0
666;Mikael Samuelsson;DET;R;26;1;2;3;2;2;4;-4;0;0;0;0;0
667;Oscar Klefbom;EDM;D;17;1;2;3;2;2;4;-6;0;0;0;0;0
668;Joakim Nordstrom;CHI;C;16;1;2;3;2;2;4;-2;0;0;0;0;0
669;Jerry D'Amigo;TOR;R;22;1;2;3;2;2;4;-1;0;0;0;0;0
670;Zach Redmond;WPG;D;10;1;2;3;2;2;4;1;0;0;0;0;0
671;Darren Archibald;VAN;R;16;1;2;3;2;2;4;1;0;0;0;0;0
672;Matt Carkner;NYI;D;53;0;3;3;0;3;3;-10;0;0;0;0;0
673;Shane O'Brien;CGY;D;45;0;3;3;0;3;3;-8;0;0;0;0;0
674;Radek Martinek;NYI;D;13;0;3;3;0;3;3;4;0;0;0;0;0
675;Carter Ashton;TOR;R;32;0;3;3;0;3;3;1;0;0;0;0;0
676;Tim Sestito;NJD;L;16;0;3;3;0;3;3;1;0;0;0;0;0
677;Patrick Wey;WSH;D;9;0;3;3;0;3;3;0;0;0;0;0;0
678;Chad Billins;CGY;D;10;0;3;3;0;3;3;-3;0;0;0;0;0
679;Patrice Cormier;WPG;C;9;0;3;3;0;3;3;2;0;0;0;0;0
680;Chuck Kobasew;PIT;R;33;2;0;2;4;0;4;1;0;0;0;2;0
681;Aaron Volpatti;WSH;L;41;2;0;2;4;0;4;-3;0;0;0;0;0
682;Jean-Gabriel Pageau;OTT;C;28;2;0;2;4;0;4;-5;0;0;0;0;0
683;Jay Rosehill;PHI;L;34;2;0;2;4;0;4;-8;0;0;0;0;0
684;Blair Jones;CGY;C;14;2;0;2;4;0;4;0;0;1;2;0;0
685;Matt Fraser;BOS;R;14;2;0;2;4;0;4;0;0;0;0;0;0
686;Harry Zolnierczyk;PIT;L;13;2;0;2;4;0;4;0;0;0;0;0;0
687;Taylor Fedun;EDM;D;4;2;0;2;4;0;4;-1;0;0;0;0;0
688;Alex Grant;ANA;D;2;2;0;2;4;0;4;3;0;0;0;0;0
689;Mark Fraser;TOR, EDM;D;42;1;1;2;2;1;3;-15;0;0;0;0;0
690;John McCarthy;SJS;L;36;1;1;2;2;1;3;-11;0;0;0;0;0
691;Alexander Urbom;WSH;D;20;1;1;2;2;1;3;1;0;0;0;0;0
692;Jim Slater;WPG;C;27;1;1;2;2;1;3;-5;0;0;0;0;0
693;Matt Gilroy;FLA;D;16;1;1;2;2;1;3;-2;0;0;0;0;0
694;Jared Boll;CBJ;R;28;1;1;2;2;1;3;-6;0;0;0;0;0
695;Dmitrij Jaskin;STL;R;18;1;1;2;2;1;3;-3;0;0;0;0;0
696;Matt Dumba;MIN;D;13;1;1;2;2;1;3;-5;1;0;0;0;0
697;Julien Brouillette;WSH;D;10;1;1;2;2;1;3;3;0;0;0;1;0
698;Matt Kassian;OTT;L;33;1;1;2;2;1;3;-1;0;0;0;0;0
699;Brett Sutter;CAR;L;17;1;1;2;2;1;3;-4;0;0;0;1;0
700;Chris Brown;PHX, WSH;C;12;1;1;2;2;1;3;0;0;0;0;0;0
701;Philip Varone;BUF;C;9;1;1;2;2;1;3;-3;0;0;0;0;0
702;David Warsofsky;BOS;D;6;1;1;2;2;1;3;1;0;0;0;0;0
703;Kenny Agostino;CGY;L;8;1;1;2;2;1;3;-2;0;0;0;0;0
704;Josh Leivo;TOR;L;7;1;1;2;2;1;3;0;0;0;0;0;0
705;Simon Moser;NSH;C;6;1;1;2;2;1;3;0;0;0;0;0;0
706;Justin Florek;BOS;L;4;1;1;2;2;1;3;1;0;0;0;0;0
707;Douglas Murray;MTL;D;53;0;2;2;0;2;2;-12;0;0;0;0;0
708;James Wright;WPG;C;59;0;2;2;0;2;2;-3;0;0;0;0;0
709;Alexander Sulzer;BUF;D;25;0;2;2;0;2;2;-3;0;0;0;0;0
710;Jarred Tinordi;MTL;D;22;0;2;2;0;2;2;-2;0;0;0;0;0
711;Tyson Strachan;WSH;D;18;0;2;2;0;2;2;-2;0;0;0;0;0
712;Colby Robak;FLA;D;16;0;2;2;0;2;2;-4;0;0;0;0;0
713;Colin Fraser;LAK;C;33;0;2;2;0;2;2;-4;0;0;0;0;0
714;Kevin Czuczman;NYI;D;13;0;2;2;0;2;2;-5;0;0;0;0;0
715;Justin Falk;NYR;D;21;0;2;2;0;2;2;-5;0;0;0;0;0
716;Nathan Beaulieu;MTL;D;17;0;2;2;0;2;2;6;0;0;0;0;0
717;Derek Grant;OTT;C;20;0;2;2;0;2;2;-3;0;0;0;0;0
718;Linus Omark;EDM, BUF;L;14;0;2;2;0;2;2;-6;0;0;0;0;0
719;Cory Emmerton;DET;C;18;0;2;2;0;2;2;-2;0;0;0;0;0
720;Adam Cracknell;STL;R;19;0;2;2;0;2;2;0;0;0;0;0;0
721;Chris Terry;CAR;L;10;0;2;2;0;2;2;-4;0;0;0;0;0
722;Rostislav Olesz;NJD;L;10;0;2;2;0;2;2;-1;0;0;0;0;0
723;Max Reinhart;CGY;C;8;0;2;2;0;2;2;1;0;0;0;0;0
724;Chris Breen;CGY;D;9;0;2;2;0;2;2;1;0;0;0;0;0
725;Ben Hanowski;CGY;R;11;0;2;2;0;2;2;-2;0;0;0;0;0
726;Andy Miele;PHX;C;7;0;2;2;0;2;2;4;0;0;0;0;0
727;Steven Pinizzotto;EDM;R;6;0;2;2;0;2;2;-1;0;0;0;0;0
728;Lane MacDermid;DAL, CGY;L;7;0;2;2;0;2;2;1;0;0;0;0;0
729;John Scott;BUF;L;56;1;0;1;2;0;2;-12;0;0;0;0;0
730;Nicolas Deslauriers;BUF;L;17;1;0;1;2;0;2;-10;0;0;0;0;0
731;Mike Halmo;NYI;L;20;1;0;1;2;0;2;-1;0;0;0;0;0
732;Frank Corrado;VAN;D;15;1;0;1;2;0;2;-2;0;0;0;0;0
733;Mark Borowiecki;OTT;D;13;1;0;1;2;0;2;-2;0;0;0;0;0
734;Luke Adam;BUF;C;12;1;0;1;2;0;2;0;0;0;0;0;0
735;Mattias Tedenby;NJD;R;15;1;0;1;2;0;2;-8;0;0;0;0;0
736;Brett Connolly;TBL;R;11;1;0;1;2;0;2;-5;0;0;0;1;0
737;Jeremy Welsh;VAN;C;19;1;0;1;2;0;2;-1;0;0;0;0;0
738;John Persson;NYI;L;10;1;0;1;2;0;2;-4;0;0;0;0;0
739;Nikita Zadorov;BUF;D;7;1;0;1;2;0;2;-4;0;0;0;0;0
740;Eriah Hayes;SJS;R;15;1;0;1;2;0;2;-2;0;0;0;0;0
741;Tyler Pitlick;EDM;R;10;1;0;1;2;0;2;-2;0;0;0;0;0
742;Corban Knight;CGY;C;7;1;0;1;2;0;2;-1;0;0;0;0;0
