rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
174;Mike Green;WSH;D;70;9;29;38;18;29;47;-16;3;0;0;2;1
175;Josh Bailey;NYI;L;77;8;30;38;16;30;46;-8;2;0;0;1;0
176;Vincent Lecavalier;PHI;C;69;20;17;37;40;17;57;-16;8;0;0;3;1
177;Chris Kreider;NYR;L;66;17;20;37;34;20;54;14;6;0;0;0;0
178;Pavel Datsyuk;DET;C;45;17;20;37;34;20;54;1;6;0;0;2;0
179;Scottie Upshall;FLA;L;76;15;22;37;30;22;52;1;1;1;2;3;0
180;John Carlson;WSH;D;82;10;27;37;20;27;47;-3;5;0;0;0;0
181;Drew Doughty;LAK;D;78;10;27;37;20;27;47;17;6;0;0;2;0
182;Sam Gagner;EDM;C;67;10;27;37;20;27;47;-29;1;0;0;1;0
183;Loui Eriksson;BOS;R;61;10;27;37;20;27;47;14;2;0;0;2;0
184;Derek Roy;STL;C;75;9;28;37;18;28;46;-1;4;0;0;2;0
185;Brian Campbell;FLA;D;82;7;30;37;14;30;44;-6;2;0;0;2;0
186;Jay Bouwmeester;STL;D;82;4;33;37;8;33;41;26;1;0;0;0;0
187;Brad Boyes;FLA;R;78;21;15;36;42;15;57;-6;2;1;2;1;0
188;Ryan Callahan;NYR, TBL;R;65;17;19;36;34;19;53;1;7;1;2;3;0
189;Benoit Pouliot;NYR;L;80;15;21;36;30;21;51;10;7;0;0;4;0
190;Nino Niederreiter;MIN;R;81;14;22;36;28;22;50;12;2;0;0;1;1
191;Dan Boyle;SJS;D;75;12;24;36;24;24;48;-8;6;0;0;1;1
192;Kris Versteeg;FLA, CHI;L;81;12;24;36;24;24;48;0;1;0;0;1;0
193;Cam Fowler;ANA;D;70;6;30;36;12;30;42;15;4;1;2;2;0
194;Cody Eakin;DAL;C;81;16;19;35;32;19;51;-9;3;1;2;2;0
195;Dustin Penner;ANA, WSH;R;67;14;21;35;28;21;49;25;5;0;0;2;0
196;Alex Chiasson;DAL;R;79;13;22;35;26;22;48;-21;6;0;0;4;0
197;Mikhail Grabovski;WSH;C;58;13;22;35;26;22;48;6;3;0;0;1;0
198;Kimmo Timonen;PHI;D;77;6;29;35;12;29;41;5;1;0;0;1;0
199;Sean Monahan;CGY;C;75;22;12;34;44;12;56;-20;3;0;0;2;1
200;Michael Ryder;NJD;R;82;18;16;34;36;16;52;-6;4;1;2;2;0
